hotel,price,score,avg review,reviews count,address,date
"Crowne Plaza Geneva, an IHG Hotel",CHF 289,"8.4
Scored 8.4",Very Good,"1,253",Geneva,2024-05-25
B&B HOTEL Oftringen,CHF 141,"8.0
Scored 8.0",Very Good,"1,448",Oftringen,2024-05-25
Hotel Engel Business & Lifestyle,CHF 185,"8.2
Scored 8.2",Very Good,366,Liestal,2024-05-25
Geneva Hostel,CHF 48,"7.9
Scored 7.9",Good,"6,368","Paquis, Geneva",2024-05-25
Hotel Höri Inn,CHF 104,"7.3
Scored 7.3",Good,996,Höri,2024-05-25
Binario 934 Boutique Hotel,CHF 192,"9.0
Scored 9.0",Wonderful,673,"Muralto, Locarno",2024-05-25
Grand Hotel Villa Castagnola,CHF 496,"9.1
Scored 9.1",Wonderful,803,Lugano,2024-05-25
Hotel Amaris,CHF 220,"8.2
Scored 8.2",Very Good,"1,307",Olten,2024-05-25
Hotel Oberland,CHF 382,"8.3
Scored 8.3",Very Good,"1,953",Lauterbrunnen,2024-05-25
Panorama apartment for 2 near Zermatt,CHF 210,"8.3
Scored 8.3",Very Good,27,Täsch,2024-05-25
Hôtel Alpina - Swiss Ski & Bike Lodge Grimentz,CHF 121,"8.5
Scored 8.5",Very Good,770,Grimentz,2024-05-25
Defanti,CHF 88,"8.1
Scored 8.1",Very Good,864,Lavorgo,2024-05-25
"Rêves Gourmands, Hôtellerie & Gastronomie",CHF 150,"9.2
Scored 9.2",Wonderful,263,Vernayaz,2024-05-25
Rotonda,CHF 117,"7.7
Scored 7.7",Good,371,Gordola,2024-05-25
Hôtel Terminus,CHF 95,"8.4
Scored 8.4",Very Good,846,Orsières,2024-05-25
Piccolo Hotel,CHF 114,"9.0
Scored 9.0",Wonderful,936,"Muralto, Locarno",2024-05-25
Gîte Chez Toinette,CHF 138,"9.6
Scored 9.6",Exceptional,344,Saignelégier,2024-05-25
Evi's Home Hotel & Apartments,CHF 281,"8.8
Scored 8.8",Excellent,833,"Breitenrain-Lorraine, Bern",2024-05-25
Airport Hotel Basel - Convenient & Friendly,CHF 128,"8.5
Scored 8.5",Very Good,"1,645","St. Johann, Basel",2024-05-25
Beau-Rivage Genève,CHF 706,"9.0
Scored 9.0",Wonderful,474,"Paquis, Geneva",2024-05-25
Hotel Schützen Lauterbrunnen,CHF 133,"6.9
Scored 6.9",Review score,"1,518",Lauterbrunnen,2024-05-25
Hotel Stockalperhof,CHF 220,"8.4
Scored 8.4",Very Good,971,Brig,2024-05-25
The Hide Flims Hotel a member of DESIGN HOTELS,CHF 212,"8.7
Scored 8.7",Excellent,"1,661",Flims,2024-05-25
ibis Lausanne Centre,CHF 179,"7.8
Scored 7.8",Good,"5,425",Lausanne,2024-05-25
"Kameha Grand Zurich, Autograph Collection",CHF 183,"7.8
Scored 7.8",Good,"1,173",Glattbrugg,2024-05-25
Hotel Rotary Geneva - MGallery,CHF 284,"8.5
Scored 8.5",Very Good,837,"Saint-Gervais / des Grottes, Geneva",2024-05-25
Walliserhof Grand-Hotel & Spa Relais & Châteaux,CHF 404,"9.0
Scored 9.0",Wonderful,326,Saas-Fee,2024-05-25
Mövenpick Hotel Lausanne Lake,CHF 268,"7.9
Scored 7.9",Good,"1,543",Lausanne,2024-05-25
Hotel Central Am See - Beau Rivage Collection,CHF 234,"8.0
Scored 8.0",Very Good,521,Weggis,2024-05-25
B&B Guest House Du Lac,CHF 125,"8.0
Scored 8.0",Very Good,"2,627",Montreux,2024-05-25
The Passage - Urban Retreat,CHF 175,"8.8
Scored 8.8",Excellent,"1,480","Vorstädte, Basel",2024-05-25
Auberge de la poste,CHF 97,"8.4
Scored 8.4",Very Good,336,Les Diablerets,2024-05-25
Marktgasse Hotel,CHF 204,"8.5
Scored 8.5",Very Good,"1,158","Zurich Old Town - City Center, Zurich",2024-05-25
Plaza Hotel Winterthur,CHF 142,"7.8
Scored 7.8",Good,"1,006",Winterthur,2024-05-25
Mountain Hostel Gimmelwald,CHF 54,"8.6
Scored 8.6",Excellent,459,Gimmelwald,2024-05-25
Tulip Inn Beaulieu Lausanne,CHF 167,"8.0
Scored 8.0",Very Good,912,Lausanne,2024-05-25
Bürgenstock Hotel & Alpine Spa,"CHF 1,256","9.4
Scored 9.4",Wonderful,953,Bürgenstock,2024-05-25
Base Vevey,CHF 257,"9.2
Scored 9.2",Wonderful,547,Vevey,2024-05-25
Hôtel du Marché,CHF 176,"7.1
Scored 7.1",Good,"3,357",Lausanne,2024-05-25
ibis budget Genève Aéroport,CHF 115,"7.9
Scored 7.9",Good,"5,993",Geneva,2024-05-25
Mercure Geneva Airport,CHF 122,"8.5
Scored 8.5",Very Good,"1,619",Geneva,2024-05-25
Melchtal Resort Apart Hotel,CHF 189,"8.6
Scored 8.6",Excellent,382,Melchtal,2024-05-25
Sport- und Ferienhaus Don Bosco,CHF 114,"8.6
Scored 8.6",Excellent,170,Lenzerheide,2024-05-25
Sorell Hotel Seefeld,CHF 309,"8.4
Scored 8.4",Very Good,"2,030","Seefeld, Zurich",2024-05-25
Seerausch Swiss Quality Hotel,CHF 180,"8.2
Scored 8.2",Very Good,"3,232",Beckenried,2024-05-25
Hôtel de la Poste Martigny - City Center,CHF 109,"7.6
Scored 7.6",Good,"1,486",Martigny-Ville,2024-05-25
Hotel Euler Basel,CHF 157,"8.1
Scored 8.1",Very Good,"1,344",Basel,2024-05-25
HERMITAGE Lake Lucerne - Beach Club & Lifestyle Hotel,CHF 487,"8.8
Scored 8.8",Excellent,"1,479",Lucerne,2024-05-25
Hotel GRACE LA MARGNA ST MORITZ,CHF 807,"9.3
Scored 9.3",Wonderful,49,St. Moritz,2024-05-25
Downtown Family&Friends,CHF 265,"7.8
Scored 7.8",Good,736,"Central Interlaken, Interlaken",2024-05-25
Hôtel de Gruyères,CHF 163,"8.1
Scored 8.1",Very Good,"1,286",Gruyères,2024-05-25
Business Hotel First,CHF 146,"8.1
Scored 8.1",Very Good,526,Feusisberg,2024-05-25
Hotel Montana,CHF 173,"7.5
Scored 7.5",Good,798,"Saint-Gervais / des Grottes, Geneva",2024-05-25
Mövenpick Hotel Egerkingen,CHF 142,"7.7
Scored 7.7",Good,"1,595",Egerkingen,2024-05-25
Le Chamois,CHF 121,"7.8
Scored 7.8",Good,616,Les Diablerets,2024-05-25
Hauser Hotel St. Moritz,CHF 373,"8.8
Scored 8.8",Excellent,"1,138",St. Moritz,2024-05-25
ibis Geneve Centre Lac,CHF 163,"7.9
Scored 7.9",Good,"5,513","Paquis, Geneva",2024-05-25
Hotel Kronenhof,CHF 252,"8.3
Scored 8.3",Very Good,"1,488",Schaffhausen,2024-05-25
Sorell Hotel St. Peter,CHF 398,"9.1
Scored 9.1",Wonderful,"1,420","Zurich Old Town - City Center, Zurich",2024-05-25
Towerhotel,CHF 78,"7.9
Scored 7.9",Good,263,Waldkirch,2024-05-25
Hotel D Geneva,CHF 241,"8.5
Scored 8.5",Very Good,"1,625","Paquis, Geneva",2024-05-25
"Center, Sauna - Haus LINARIA",CHF 195,"9.0
Scored 9.0",Wonderful,108,Leukerbad,2024-05-25
Hotel Rheinfelderhof,CHF 103,"7.3
Scored 7.3",Good,"2,690","Clara, Basel",2024-05-25
Edelweiss Manotel,CHF 264,"8.6
Scored 8.6",Excellent,"1,783","Paquis, Geneva",2024-05-25
Park Hotel Principe - Ticino Hotels Group,CHF 254,"7.9
Scored 7.9",Good,"1,306",Lugano,2024-05-25
Hotel Stadthaus,CHF 233,"9.1
Scored 9.1",Wonderful,382,Burgdorf,2024-05-25
Sheraton Zürich Hotel,CHF 241,"7.8
Scored 7.8",Good,"1,154","Escher Wyss, Zurich",2024-05-25
Hotel-Restaurant Löwen,CHF 166,"8.3
Scored 8.3",Very Good,237,Dielsdorf,2024-05-25
B&B Chasa Arfusch,CHF 106,"9.0
Scored 9.0",Wonderful,215,Ardez,2024-05-25
Swiss-Chalet Merlischachen - Historik Chalet-Hotel Lodge,CHF 107,"8.4
Scored 8.4",Very Good,628,Küssnacht,2024-05-25
Self- Check- In Hotel Regina Beatenberg,CHF 99,"7.1
Scored 7.1",Good,759,Beatenberg,2024-05-25
Hotel de France,CHF 85,"7.6
Scored 7.6",Good,651,La Chaux-de-Fonds,2024-05-25
Hotel Restaurant Seegarten,CHF 133,"8.4
Scored 8.4",Very Good,741,Arbon,2024-05-25
NEW OPENING 2022 - Los Lorentes Apartments Bern City,CHF 129,"8.7
Scored 8.7",Excellent,"1,515","Mattenhof-Weissenbühl, Bern",2024-05-25
La Dent-du-Midi Hôtel & Restaurant,CHF 87,"7.9
Scored 7.9",Good,977,Saint-Maurice,2024-05-25
Kurhaus Lenzerheide,CHF 155,"8.2
Scored 8.2",Very Good,997,Lenzerheide,2024-05-25
Auteuil Manotel,CHF 254,"7.9
Scored 7.9",Good,"2,192","Paquis, Geneva",2024-05-25
B&B Kelly Plus,CHF 154,"8.4
Scored 8.4",Very Good,27,Lausanne,2024-05-25
"Magic CHALET near Como lake, parking, total privacy",CHF 117,"8.6
Scored 8.6",Excellent,219,Morbio Inferiore,2024-05-25
Hotel City Inn Basel,CHF 130,"7.2
Scored 7.2",Good,"1,885",Basel,2024-05-25
Courtyard by Marriott Zurich North,CHF 181,"7.8
Scored 7.8",Good,"1,238","Oerlikon, Zurich",2024-05-25
ibis 3 Lacs Neuchâtel,CHF 129,"7.7
Scored 7.7",Good,"1,007",Thielle-Wavre,2024-05-25
Osteria Ticino by Ketty & Tommy,CHF 111,"8.4
Scored 8.4",Very Good,745,Ascona,2024-05-25
Hotel Seeblick,CHF 70,"8.4
Scored 8.4",Very Good,742,Sufers,2024-05-25
ibis budget Winterthur,CHF 93,"7.0
Scored 7.0",Good,"1,701",Winterthur,2024-05-25
Hotel & Bildungshaus St. Jodern,CHF 78,"8.1
Scored 8.1",Very Good,"1,142",Visp,2024-05-25
Riders Hotel,CHF 276,"8.7
Scored 8.7",Excellent,707,Laax,2024-05-25
smartroom hotel Rössli Hunzenschwil,CHF 135,"7.5
Scored 7.5",Good,413,Hunzenschwil,2024-05-25
Les Armures,CHF 403,"9.2
Scored 9.2",Wonderful,926,"Downtown, Geneva",2024-05-25
Hotel Rebstock Meiringen,CHF 53,"7.7
Scored 7.7",Good,57,Meiringen,2024-05-25
Chesa Languard,CHF 134,"8.4
Scored 8.4",Very Good,"1,147",St. Moritz,2024-05-25
Stoos Lodge,CHF 240,"9.0
Scored 9.0",Wonderful,684,Stoos,2024-05-25
Hotel Châlet Du Lac,CHF 118,"8.9
Scored 8.9",Excellent,"1,101",Iseltwald,2024-05-25
Hotel Neu-Schönstatt,CHF 262,"8.6
Scored 8.6",Excellent,"1,070",Quarten,2024-05-25
Best Western Plus Hotel Bern,CHF 188,"8.6
Scored 8.6",Excellent,"4,029","Old City of Bern, Bern",2024-05-25
Tiny de l'Aigle,CHF 152,"9.4
Scored 9.4",Wonderful,41,Villeret,2024-05-25
Catrina Lodge,CHF 64,"8.3
Scored 8.3",Very Good,946,Disentis,2024-05-25
Hotel Restaurant Kutchi,CHF 144,"7.5
Scored 7.5",Good,142,Bellevue,2024-05-25
Hotel Schweizerhof,CHF 148,"8.6
Scored 8.6",Excellent,908,Engelberg,2024-05-25
Fairmont Grand Hotel Geneva,CHF 726,"8.1
Scored 8.1",Very Good,728,"Paquis, Geneva",2024-05-25
Hotel Lavaux,CHF 113,"8.2
Scored 8.2",Very Good,"2,130",Cully,2024-05-25
Hotel Wettstein,CHF 128,"8.7
Scored 8.7",Excellent,"2,302","Basel City Centre, Basel",2024-05-25
THE FLAG Zürich,CHF 182,"8.2
Scored 8.2",Very Good,"2,922","Altstetten, Zurich",2024-05-25
Hôtel Le Funi de Cossonay,CHF 165,"8.2
Scored 8.2",Very Good,262,Cossonay,2024-05-25
First Lodge,CHF 78,"8.0
Scored 8.0",Very Good,878,Grindelwald,2024-05-25
Hotel al Ponte Antico,CHF 164,"8.9
Scored 8.9",Excellent,331,Intragna,2024-05-25
See- und Seminarhotel FloraAlpina Vitznau,CHF 165,"8.6
Scored 8.6",Excellent,"1,156",Vitznau,2024-05-25
Bergwelt Grindelwald - Alpine Design Resort,CHF 586,"9.0
Scored 9.0",Wonderful,"2,464",Grindelwald,2024-05-25
Hotel Victoria,CHF 120,"6.7
Scored 6.7",Review score,"2,933",Lugano,2024-05-25
Hotel Il Castagno,CHF 125,"8.5
Scored 8.5",Very Good,523,Mugena,2024-05-25
Hotel Limmathof,CHF 160,"7.5
Scored 7.5",Good,"4,584","Zurich Old Town - City Center, Zurich",2024-05-25
Hotel Simi,CHF 293,"8.5
Scored 8.5",Very Good,411,"City Centre, Zermatt",2024-05-25
Fred Guest House Zürich Hauptbahnhof,CHF 187,"8.0
Scored 8.0",Very Good,"2,607","Zurich Old Town - City Center, Zurich",2024-05-25
Hotel Franziskaner,CHF 86,"7.4
Scored 7.4",Good,"1,646",Chur,2024-05-25
Hotel Arc-en-ciel Gstaad,CHF 257,"8.9
Scored 8.9",Excellent,"1,000",Gstaad,2024-05-25
Lai Lifestyle Hotel,CHF 135,"8.4
Scored 8.4",Very Good,976,Lenzerheide,2024-05-25
Hotel Fassbind Beausite,CHF 129,"9.0
Scored 9.0",Wonderful,202,Beatenberg,2024-05-25
L'hôtât di loup,CHF 116,"8.9
Scored 8.9",Excellent,56,Courtedoux,2024-05-25
Hotel Cervo,CHF 179,"8.4
Scored 8.4",Very Good,"1,184",Sils Maria,2024-05-25
Lake Modern Suites - Free Parking,CHF 280,"9.5
Scored 9.5",Exceptional,544,Lugano,2024-05-25
Hôtel Des Arts,CHF 141,"8.1
Scored 8.1",Very Good,"1,946",Neuchâtel,2024-05-25
ibis Bulle - La Gruyère,CHF 118,"7.9
Scored 7.9",Good,"1,284",Bulle,2024-05-25
Renaissance Zurich Tower Hotel,CHF 303,"7.9
Scored 7.9",Good,"1,223","Escher Wyss, Zurich",2024-05-25
Hotel dell'Angelo,CHF 157,"7.2
Scored 7.2",Good,"3,554",Locarno,2024-05-25
Opera Hotel Zürich,CHF 284,"8.0
Scored 8.0",Very Good,"2,356","Seefeld, Zurich",2024-05-25
Hôtel Bellevue,CHF 138,"7.9
Scored 7.9",Good,405,Porrentruy,2024-05-25
ibis budget Zurich City West,CHF 118,"6.8
Scored 6.8",Review score,"4,786","Escher Wyss, Zurich",2024-05-25
Funny Farm Backpackers,CHF 35,"7.5
Scored 7.5",Good,"2,806",Interlaken,2024-05-25
Hotel Berchtold,CHF 126,"8.6
Scored 8.6",Excellent,"1,234",Burgdorf,2024-05-25
Auberge des Grands Bois,CHF 166,"8.6
Scored 8.6",Excellent,"1,126",Buchillon,2024-05-25
Hotel Dom,CHF 137,"8.7
Scored 8.7",Excellent,630,St. Gallen,2024-05-25
Sorell Hotel City Weissenstein - Boutique Hotel,CHF 232,"9.0
Scored 9.0",Wonderful,830,St. Gallen,2024-05-25
Hotel Gerig,CHF 98,"8.4
Scored 8.4",Very Good,815,Wassen,2024-05-25
Simple Rooms - Yellow Inn,CHF 85,"8.5
Scored 8.5",Very Good,"1,763",St. Gallen,2024-05-25
Hotel Parc & Lac,CHF 106,"7.4
Scored 7.4",Good,"3,122","Montreux City Centre, Montreux",2024-05-25
"Hotel Egerkingen, idealer Zwischenstopp",CHF 122,"7.9
Scored 7.9",Good,879,Egerkingen,2024-05-25
Crazy Lounge BnB,CHF 109,"7.5
Scored 7.5",Good,352,Aigle,2024-05-25
Mövenpick Hotel & Casino Geneva,CHF 188,"7.8
Scored 7.8",Good,839,Geneva,2024-05-25
Hotel Reine Victoria by Laudinella,CHF 274,"8.2
Scored 8.2",Very Good,829,St. Moritz,2024-05-25
Hotel Metropol Basel,CHF 166,"7.8
Scored 7.8",Good,993,Basel,2024-05-25
Hotel Metropol Basel,CHF 166,"7.8
Scored 7.8",Good,993,Basel,2024-05-25
Alpenblick Hotel & Restaurant Wilderswil by Interlaken,CHF 302,"8.1
Scored 8.1",Very Good,585,Wilderswil,2024-05-25
Hotel Gasthof Kreuz,CHF 95,"8.7
Scored 8.7",Excellent,108,Welschenrohr,2024-05-25
Hôtel de Fully,CHF 102,"9.0
Scored 9.0",Wonderful,702,Fully,2024-05-25
Residenza 3544,CHF 149,"9.1
Scored 9.1",Wonderful,172,Lumino,2024-05-25
Hotel Seehof,CHF 168,"8.8
Scored 8.8",Excellent,708,Valbella,2024-05-25
ibis Fribourg,CHF 113,"7.6
Scored 7.6",Good,950,Fribourg,2024-05-25
Hôtel de Ville,CHF 93,"8.4
Scored 8.4",Very Good,617,Chateau-d'Oex,2024-05-25
Hotel Belair,CHF 104,"7.9
Scored 7.9",Good,937,Wallisellen,2024-05-25
Hotel Alexander Zurich Old Town,CHF 239,"8.5
Scored 8.5",Very Good,"1,836","Zurich Old Town - City Center, Zurich",2024-05-25
Zappa Lake Lodge,CHF 86,"7.9
Scored 7.9",Good,"1,030",Brusino Arsizio,2024-05-25
Albergo Elvezia,CHF 233,"7.4
Scored 7.4",Good,414,Rivera,2024-05-25
Boutique Hotel Seegarten,CHF 264,"8.6
Scored 8.6",Excellent,"1,087","Seefeld, Zurich",2024-05-25
Hotel Rätia,CHF 63,"7.8
Scored 7.8",Good,614,Ilanz,2024-05-25
K BUSINESS,CHF 215,"8.2
Scored 8.2",Very Good,366,Zuchwil,2024-05-25
Casa Tödi Restaurant Hotel,CHF 163,"8.3
Scored 8.3",Very Good,174,Trun,2024-05-25
Hôtel Longemalle,CHF 433,"8.5
Scored 8.5",Very Good,"1,330","Downtown, Geneva",2024-05-25
Domaine de Châteauvieux,CHF 348,"9.0
Scored 9.0",Wonderful,136,Peney-Dessus,2024-05-25
Bed & Breakfast Region Murtensee,CHF 177,"9.3
Scored 9.3",Wonderful,169,Münchenwiler,2024-05-25
Le Bristol Leukerbad,CHF 225,"8.1
Scored 8.1",Very Good,"1,322",Leukerbad,2024-05-25
Montreux Youth Hostel,CHF 59,"8.3
Scored 8.3",Very Good,583,Montreux,2024-05-25
Hôtel Restaurant Port-Conty,CHF 197,"8.3
Scored 8.3",Very Good,974,Saint Aubin Sauges,2024-05-25
Hotel Ländli,CHF 132,"8.3
Scored 8.3",Very Good,574,Oberägeri,2024-05-25
Hotel D Bulle - La Gruyère,CHF 226,"8.9
Scored 8.9",Excellent,780,Bulle,2024-05-25
Chalet le Joyau,CHF 697,"9.4
Scored 9.4",Wonderful,18,Nendaz,2024-05-25
WELCOME HOTEL - Hellbühl,CHF 76,"7.2
Scored 7.2",Good,533,Hellbühl,2024-05-25
Lake Lodge Hostel,CHF 150,"8.2
Scored 8.2",Very Good,"1,436",Iseltwald,2024-05-25
Hôtel Chalet Royal,CHF 171,"7.8
Scored 7.8",Good,866,Veysonnaz,2024-05-25
Solothurn Youth Hostel,CHF 51,"7.9
Scored 7.9",Good,167,Solothurn,2024-05-25
Whitepod Original,CHF 417,"8.9
Scored 8.9",Excellent,484,Monthey,2024-05-25
Grischa - Das Hotel Davos,CHF 154,"8.9
Scored 8.9",Excellent,523,Davos,2024-05-25
Hotel Roc et Neige,CHF 98,"7.6
Scored 7.6",Good,807,Chateau-d'Oex,2024-05-25
Hotel International & Terminus,CHF 189,"7.7
Scored 7.7",Good,"2,033","Paquis, Geneva",2024-05-25
B&B Le Phare,CHF 74,"7.9
Scored 7.9",Good,323,Bouveret,2024-05-25
Anstatthotel Schafisheim - self-check-in,CHF 97,"8.3
Scored 8.3",Very Good,792,Schafisheim,2024-05-25
Le Leman Hotel,CHF 123,"7.9
Scored 7.9",Good,620,Vevey,2024-05-25
Rapperswil-Jona Youth Hostel,CHF 62,"8.3
Scored 8.3",Very Good,271,Rapperswil-Jona,2024-05-25
Villa Montreux,CHF 355,"9.4
Scored 9.4",Wonderful,58,Montreux,2024-05-25
Hotel Ristorante LIDO,CHF 164,"8.4
Scored 8.4",Very Good,824,San Bernardino,2024-05-25
Hotel Grimsel,CHF 110,"8.7
Scored 8.7",Excellent,699,Obergesteln,2024-05-25
Hotel San Giobbe,CHF 144,"7.1
Scored 7.1",Good,445,Giubiasco,2024-05-25
Schloss Wartegg,CHF 247,"8.9
Scored 8.9",Excellent,168,Rorschacherberg,2024-05-25
Hotel & Spa Silberhorn Wengen,CHF 219,"8.5
Scored 8.5",Very Good,381,Wengen,2024-05-25
Hotel-Restaurant Bellevue,CHF 109,"8.7
Scored 8.7",Excellent,686,Flims,2024-05-25
Casa Ines,CHF 73,"8.4
Scored 8.4",Very Good,266,Bellinzona,2024-05-25
Swiss Hostel Lago Lodge,CHF 40,"8.0
Scored 8.0",Very Good,701,Biel,2024-05-25
B&B La Ferme De Pouillerel,CHF 80,"8.9
Scored 8.9",Excellent,259,La Chaux-de-Fonds,2024-05-25
Villa Principe Leopoldo - Ticino Hotels Group,CHF 591,"8.9
Scored 8.9",Excellent,575,Lugano,2024-05-25
Jet Hotel Zurich Airport,CHF 127,"8.1
Scored 8.1",Very Good,"2,952",Rümlang,2024-05-25
Hotel Tannenboden,CHF 105,"8.9
Scored 8.9",Excellent,307,Flumserberg,2024-05-25
